iter	Recall	Logloss
0	0.7569021844	0.6093639018
1	0.7922458523	0.5588052486
2	0.7960092243	0.528294772
3	0.7879860355	0.5094264275
4	0.7800909615	0.4976366586
5	0.7819005829	0.4872502412
6	0.7860162706	0.4805228246
7	0.7775126513	0.4732776492
8	0.7860963423	0.4674583285
9	0.7815963103	0.4633643751
10	0.7850233809	0.4611359539
11	0.7856159119	0.4577206447
12	0.7892191403	0.4542172881
13	0.7923899814	0.4519308404
14	0.7900358721	0.447763989
15	0.7896995708	0.4450575058
16	0.786400615	0.4409759553
17	0.7860963423	0.4381824518
18	0.7876657485	0.4361635585
19	0.788514509	0.4325323129
20	0.7910928192	0.430905882
21	0.7923419384	0.4294204345
22	0.7933988854	0.4275615311
23	0.7926141823	0.4254312287
24	0.7928223688	0.4244419031
25	0.7906604317	0.4214210253
26	0.7965857408	0.4193549029
27	0.799532381	0.417534558
28	0.7996604958	0.4175244422
29	0.8026231503	0.4165791914
30	0.8032797386	0.4145716456
31	0.8060662353	0.4135445745
32	0.8041605278	0.4117836519
33	0.8043847287	0.4100144016
34	0.8036480687	0.4088537716
35	0.8059701493	0.4063531925
36	0.8100057652	0.403425936
37	0.8108385113	0.4008903667
38	0.8122958171	0.3991656267
39	0.8118153866	0.3971239869
40	0.8138011658	0.3958890659
41	0.8162353469	0.3947340504
42	0.8162353469	0.3938605858
43	0.8152744859	0.3925592614
44	0.8149061559	0.3916285892
45	0.8189898149	0.3892958324
46	0.8190058292	0.3883373182
47	0.8179168535	0.3875456749
48	0.8236980334	0.385440535
49	0.8235699186	0.384047838
50	0.8258439562	0.3820928289
51	0.8296073282	0.3794010111
52	0.8324098392	0.378221024
53	0.8341554032	0.3765544726
54	0.835292422	0.3755844455
55	0.8368458138	0.3744039364
56	0.8375504452	0.3732132516
57	0.8390718083	0.3712029041
58	0.8370219717	0.3692475048
59	0.8381589905	0.3680696916
60	0.8399846262	0.3662486496
61	0.8399365832	0.3656442797
62	0.8428031516	0.3634736075
63	0.8425789507	0.3625357069
64	0.8443725578	0.3610502833
65	0.8469188393	0.3591411021
66	0.8496893216	0.3579246405
67	0.8512266991	0.3569062934
68	0.8521074883	0.3547641737
69	0.8522035744	0.3536818319
70	0.8562391903	0.3519081838
71	0.8557267312	0.3505925776
72	0.8564153482	0.3490436949
73	0.8556626738	0.3486993814
74	0.8572961373	0.3468352165
75	0.8580968548	0.3449781775
76	0.858657357	0.3435796422
77	0.8617641407	0.342584683
78	0.8622605855	0.340804002
79	0.8636698482	0.3394905166
80	0.863846006	0.3383659288
81	0.8635097047	0.3374860283
82	0.8634616616	0.3360324958
83	0.8652872974	0.3344459568
84	0.8665043879	0.3323556871
85	0.8674011915	0.3317904891
86	0.8674652489	0.3309711504
87	0.8671930049	0.3293284878
88	0.8680257511	0.3288789733
89	0.8685542246	0.3279624533
90	0.868666325	0.3275163278
91	0.8689225546	0.3265871797
92	0.8705560182	0.324984431
93	0.8711805778	0.3237035611
94	0.8714528217	0.3231709292
95	0.8712446352	0.3222080744
96	0.8705239895	0.3216228877
97	0.8716610083	0.3201732999
98	0.87100442	0.3185221643
99	0.8713247069	0.316744015
100	0.8717250657	0.3154692011
101	0.8726859266	0.3138983698
102	0.8739830888	0.3134066084
103	0.8764012555	0.3119914327
104	0.8784671065	0.3103738639
105	0.8799244123	0.3091181585
106	0.8800365127	0.3077768541
107	0.8797002114	0.3068656116
108	0.8802607136	0.3057150444
109	0.8811254884	0.3046244138
110	0.8813496893	0.3032338147
111	0.8820062776	0.3028130706
112	0.8824226507	0.3016096767
113	0.8829671386	0.3008987947
114	0.8843443726	0.2997379058
115	0.8853532765	0.2987285653
116	0.8863942092	0.2975946725
117	0.8876273141	0.2954999
118	0.8891646916	0.2940970984
119	0.8897572225	0.2930498358
120	0.8890365768	0.2918433309
121	0.8897251938	0.2909560837
122	0.8897732368	0.2901028609
123	0.8896130933	0.2891651867
124	0.8895330216	0.2877732871
125	0.8888444046	0.2870113001
126	0.8888444046	0.2865669832
127	0.8887643328	0.2858717699
128	0.8896611364	0.2849537731
129	0.8905739543	0.284554458
130	0.8904298251	0.2842728857
131	0.8902536673	0.2838760554
