iter	Passed	Remaining
0	16	16318
1	30	15150
2	41	13922
3	53	13243
4	65	12986
5	77	12793
6	88	12588
7	99	12385
8	111	12322
9	124	12286
10	135	12211
11	146	12083
12	157	11953
13	168	11856
14	179	11807
15	190	11737
16	201	11673
17	212	11599
18	224	11585
19	235	11527
20	246	11477
21	257	11442
22	268	11421
23	279	11380
24	291	11377
25	303	11361
26	314	11320
27	325	11312
28	336	11270
29	348	11257
30	359	11228
31	372	11256
32	383	11227
33	394	11217
34	405	11191
35	417	11172
36	428	11157
37	439	11138
38	450	11108
39	461	11083
40	472	11059
41	483	11032
42	495	11026
43	506	11001
44	518	10998
45	529	10979
46	540	10962
47	552	10955
48	563	10928
49	575	10928
50	586	10914
51	597	10884
52	609	10889
53	621	10883
54	635	10918
55	646	10894
56	657	10869
57	668	10850
58	679	10838
59	691	10832
60	702	10816
61	714	10803
62	725	10790
63	736	10773
64	748	10769
65	759	10744
66	770	10725
67	780	10693
68	791	10682
69	803	10671
70	814	10661
71	826	10652
72	838	10648
73	849	10635
74	860	10614
75	871	10595
76	882	10579
77	893	10559
78	905	10550
79	916	10537
80	927	10525
81	939	10514
82	952	10528
83	963	10505
84	974	10489
85	985	10472
86	996	10456
87	1007	10439
88	1020	10444
89	1031	10433
90	1042	10410
91	1054	10404
92	1066	10399
93	1077	10383
94	1089	10376
95	1101	10367
96	1115	10387
97	1127	10374
98	1138	10357
99	1149	10346
100	1160	10331
101	1171	10311
102	1184	10313
103	1195	10303
104	1207	10293
105	1218	10273
106	1229	10260
107	1240	10246
108	1251	10230
109	1261	10210
110	1274	10204
111	1285	10193
112	1296	10179
113	1307	10165
114	1318	10147
115	1329	10133
116	1341	10120
117	1351	10105
118	1363	10094
119	1374	10082
120	1386	10071
121	1398	10065
122	1409	10052
123	1421	10040
124	1431	10023
125	1442	10005
126	1453	9993
127	1465	9982
128	1476	9967
129	1488	9958
130	1498	9941
131	1509	9926
132	1521	9916
133	1531	9899
134	1542	9883
135	1554	9874
136	1565	9859
137	1576	9844
138	1588	9838
139	1599	9827
140	1610	9813
141	1621	9799
142	1632	9785
143	1643	9772
144	1654	9757
145	1665	9741
146	1676	9727
147	1686	9709
148	1698	9700
149	1711	9697
150	1723	9687
151	1733	9668
152	1743	9654
153	1754	9640
154	1766	9627
155	1777	9616
156	1788	9602
157	1800	9592
158	1812	9585
159	1823	9573
160	1834	9558
161	1845	9545
162	1856	9534
163	1868	9525
164	1880	9515
165	1892	9506
166	1902	9491
167	1913	9476
168	1924	9463
169	1935	9449
170	1950	9457
171	1963	9450
172	1974	9440
173	1985	9424
174	1997	9415
175	2008	9401
176	2019	9389
177	2030	9377
178	2042	9369
179	2054	9359
180	2065	9348
181	2076	9334
182	2087	9317
183	2098	9304
184	2110	9296
185	2121	9286
186	2133	9273
187	2144	9263
188	2155	9249
189	2166	9236
190	2177	9224
191	2189	9214
192	2201	9205
193	2212	9194
194	2224	9183
195	2235	9171
196	2246	9157
197	2257	9143
198	2269	9133
199	2279	9119
200	2291	9107
201	2302	9094
202	2313	9081
203	2324	9070
