iter	Recall	Logloss
0	0.7548611999	0.6110078838
1	0.7737783037	0.5631811294
2	0.7747057695	0.5332870546
3	0.7802385826	0.5120281699
4	0.7835806575	0.4982472117
5	0.7845720865	0.4864306521
6	0.7798228221	0.4789368386
7	0.7809261865	0.4730206232
8	0.7807183063	0.467744147
9	0.7847319944	0.4618412011
10	0.7842042983	0.4588187606
11	0.7888256364	0.4548567706
12	0.7917999232	0.4522667186
13	0.790984393	0.450337445
14	0.7945663298	0.4466250205
15	0.7935908916	0.4445479648
16	0.7922796469	0.4416324012
17	0.7953658693	0.4385870641
18	0.7969329666	0.4363330118
19	0.8024497889	0.4333403796
20	0.8022259179	0.4315838689
21	0.8048643981	0.4293822309
22	0.8060796981	0.4259887575
23	0.8087021875	0.4232147615
24	0.808366381	0.4216458143
25	0.8098215428	0.4194340573
26	0.8071670718	0.4169857984
27	0.8110048612	0.4154900824
28	0.8117244467	0.413689494
29	0.8122201612	0.4108057644
30	0.8085102981	0.4093165779
31	0.812763848	0.4078613397
32	0.8107809901	0.4061246561
33	0.8125559678	0.4043248754
34	0.8134034796	0.402666445
35	0.813147627	0.4006786695
36	0.8145388256	0.3991379522
37	0.8174811309	0.3980992984
38	0.817625048	0.3966280938
39	0.8174171677	0.3956828442
40	0.8186964309	0.3939239196
41	0.8178649098	0.3930926755
42	0.8230459255	0.3901911869
43	0.824533069	0.388372442
44	0.8269476781	0.3862717742
45	0.8281949597	0.3855236297
46	0.8288985544	0.3834606315
47	0.8298260202	0.3818138315
48	0.8335358833	0.3804557889
49	0.8339356531	0.3783905729
50	0.8339516439	0.3771699702
51	0.8331521044	0.3763374274
52	0.8353588333	0.3735719272
53	0.835454778	0.3726801136
54	0.8378693872	0.3706286238
55	0.8385090188	0.3691175347
56	0.8396923372	0.3675098264
57	0.840539849	0.3665691804
58	0.8439139056	0.3653699751
59	0.8439139056	0.3627526235
60	0.8449373161	0.360708722
61	0.8471920174	0.3587734761
62	0.8473199437	0.3570048246
63	0.8494147371	0.3559124601
64	0.8499264424	0.3545148478
65	0.8509818345	0.3537047854
66	0.8509018805	0.353068162
67	0.8518453371	0.3525130758
68	0.8532685173	0.3516820266
69	0.8531885634	0.3499674971
70	0.8531565818	0.3479850129
71	0.8532045542	0.3474690587
72	0.8557470897	0.345510891
73	0.8556191634	0.3439744212
74	0.8563867212	0.3434694539
75	0.8572182423	0.3426038057
76	0.8574421133	0.3410542905
77	0.8584015607	0.3402710474
78	0.8586574133	0.3393261188
79	0.8596648331	0.3374189934
80	0.8598407317	0.3354361675
81	0.8595049252	0.3341811706
82	0.8623672764	0.3327097354
83	0.8641742356	0.332012579
