iter	Passed	Remaining
0	12	12325
1	24	12095
2	36	12059
3	47	11833
4	58	11737
5	70	11678
6	81	11557
7	93	11541
8	104	11506
9	115	11451
10	127	11439
11	138	11392
12	149	11358
13	187	13182
14	198	13017
15	209	12883
16	221	12780
17	231	12648
18	243	12567
19	255	12520
20	266	12429
21	277	12347
22	289	12280
23	299	12192
24	310	12118
25	321	12041
26	332	11973
27	342	11902
28	354	11863
29	366	11860
30	377	11801
31	388	11758
32	400	11725
33	410	11674
34	422	11654
35	433	11616
36	445	11587
37	456	11551
38	467	11510
39	479	11506
40	490	11466
41	501	11447
42	513	11423
43	524	11387
44	535	11359
45	546	11324
46	557	11295
47	567	11260
48	578	11231
49	590	11215
50	600	11182
51	611	11154
52	623	11141
53	634	11121
54	646	11100
55	658	11096
56	669	11074
57	680	11046
58	691	11025
59	703	11020
60	715	11007
61	726	10997
62	739	10998
63	750	10974
64	761	10949
65	774	10955
66	785	10944
67	796	10922
68	808	10908
69	820	10904
70	832	10894
71	845	10896
72	858	10901
73	870	10897
74	881	10873
75	893	10864
76	905	10856
77	916	10832
78	927	10817
79	939	10799
80	951	10790
81	961	10767
82	972	10749
83	983	10729
84	995	10715
85	1007	10712
86	1019	10697
87	1030	10676
88	1041	10656
89	1052	10637
90	1063	10627
91	1075	10617
92	1087	10608
93	1099	10598
94	1111	10587
95	1122	10569
96	1133	10551
97	1144	10532
98	1155	10515
99	1166	10498
100	1205	10732
101	1216	10710
102	1227	10693
103	1238	10673
104	1250	10658
105	1262	10645
106	1273	10624
107	1283	10603
108	1295	10589
109	1306	10572
110	1318	10559
111	1329	10541
112	1339	10514
113	1350	10499
114	1362	10488
115	1373	10469
116	1385	10454
117	1396	10439
118	1408	10427
119	1421	10424
120	1432	10408
121	1444	10397
122	1457	10394
123	1469	10381
124	1481	10368
125	1492	10351
126	1503	10337
127	1514	10316
128	1524	10295
129	1535	10278
130	1548	10269
131	1560	10258
132	1574	10263
133	1585	10245
134	1596	10230
135	1609	10222
136	1618	10198
137	1629	10178
138	1640	10160
139	1651	10145
140	1662	10129
141	1673	10109
142	1685	10102
143	1696	10084
144	1708	10072
145	1719	10058
146	1731	10048
147	1743	10034
148	1755	10024
149	1765	10006
150	1778	9997
151	1788	9980
152	1800	9966
153	1811	9953
154	1823	9943
155	1837	9940
156	1849	9932
157	1860	9914
158	1872	9902
159	1886	9905
160	1898	9894
161	1910	9881
162	1921	9866
163	1932	9848
164	1942	9832
165	1953	9817
166	1965	9806
167	1977	9795
168	1990	9785
169	2001	9772
170	2012	9757
171	2025	9750
172	2036	9735
173	2048	9723
174	2058	9704
175	2069	9687
176	2080	9671
177	2091	9658
178	2102	9644
179	2114	9631
180	2125	9618
181	2136	9601
182	2147	9589
183	2158	9573
184	2170	9560
185	2180	9543
186	2217	9641
187	2231	9636
188	2241	9620
189	2253	9605
190	2265	9593
191	2276	9579
192	2287	9565
193	2298	9550
194	2309	9533
195	2320	9517
196	2331	9501
197	2342	9486
198	2352	9469
199	2363	9454
200	2374	9439
201	2385	9424
202	2397	9411
203	2408	9398
204	2419	9382
205	2429	9365
206	2441	9351
207	2452	9339
208	2463	9323
209	2475	9312
210	2486	9298
211	2497	9282
212	2508	9269
213	2520	9255
214	2534	9255
215	2546	9241
216	2557	9227
217	2568	9214
218	2579	9199
219	2590	9186
220	2602	9172
221	2613	9158
222	2624	9144
223	2635	9130
224	2647	9118
225	2658	9104
226	2669	9092
227	2681	9080
228	2692	9066
229	2704	9055
230	2717	9045
231	2728	9030
232	2739	9017
233	2750	9003
234	2762	8991
235	2773	8977
236	2784	8965
237	2795	8951
238	2806	8936
239	2820	8930
240	2832	8919
