iter	Recall	Logloss
0	0.7236143844	0.6122438663
1	0.7805140045	0.5625405683
2	0.7776922707	0.5311788156
3	0.7834479663	0.5120443897
4	0.7880172511	0.4978809752
5	0.7842495952	0.48741016
6	0.7795199846	0.4800517589
7	0.7870071986	0.4735468576
8	0.7885783913	0.4680765849
9	0.7937088163	0.4652522856
10	0.7918650698	0.4603477037
11	0.7987911436	0.4553707532
12	0.7978772866	0.4520457609
13	0.7933721322	0.449445454
14	0.7972680487	0.4463954802
15	0.7987270133	0.4438286446
16	0.7953281067	0.4408836483
17	0.7988071762	0.4375521833
18	0.8013403235	0.4348751119
19	0.8010998349	0.4321926033
20	0.7985987527	0.4306539072
21	0.7985185898	0.4288896333
22	0.8006348901	0.4266842588
23	0.8014204864	0.424355106
24	0.7998492938	0.4224417037
25	0.8026870601	0.4205682846
26	0.8036329822	0.4189583855
27	0.8059737386	0.4181038478
28	0.8092764497	0.4160945847
29	0.8092764497	0.4135257643
30	0.811585141	0.4108675401
31	0.813525083	0.4098375059
32	0.8142625816	0.4074067995
33	0.813220464	0.4061466018
34	0.8163147516	0.4037361714
35	0.817212576	0.4025162786
36	0.818767736	0.4004563404
37	0.8191204528	0.3991895016
38	0.8183027913	0.3969729572
39	0.8208038735	0.394790292
40	0.8229682715	0.3932949667
41	0.8232087602	0.3904980647
42	0.8229201738	0.3890996503
43	0.8216375675	0.3883306567
44	0.8231927276	0.3876018461
45	0.8246677248	0.3862843197
46	0.8260625591	0.3855001641
47	0.8255014189	0.3847330037
48	0.8266076668	0.3832983476
49	0.8265916342	0.3826534605
50	0.8244593013	0.3812135526
51	0.8279704359	0.3790607458
52	0.831273147	0.3770384893
53	0.8319144502	0.3750648185
54	0.8306318439	0.3738289574
55	0.8353774871	0.3722336533
56	0.832299232	0.3706843237
57	0.8367402562	0.3697029793
58	0.836708191	0.3678182134
59	0.8375739503	0.367116961
60	0.8414057365	0.36545671
61	0.8406041075	0.3641922645
62	0.8424959518	0.3629732561
63	0.8412293781	0.3618498774
64	0.8395940551	0.3607159308
65	0.8425119844	0.3585630709
66	0.8427685056	0.3562666989
67	0.8425440495	0.3553109501
68	0.8443396983	0.353945901
69	0.8475943116	0.3524693784
70	0.8473217578	0.3517191838
71	0.8476103442	0.3495707495
72	0.8491334391	0.3482831313
73	0.8503519151	0.3463674362
74	0.8505122409	0.3455048454
75	0.850432078	0.3445568425
76	0.8500472961	0.3433581742
77	0.8507847947	0.3427679956
78	0.8536065285	0.341565349
79	0.8530614208	0.3405934723
80	0.8551296234	0.3390804811
81	0.8552418514	0.3382637909
82	0.8554823401	0.3379379681
83	0.8559312523	0.3373562581
84	0.8571336957	0.3358405947
85	0.8588491815	0.3341353997
86	0.8600195597	0.332481443
87	0.8600997226	0.3317796779
88	0.8610777099	0.3311298777
89	0.8625687397	0.3292726978
90	0.8634505315	0.3279579557
91	0.8637551505	0.3262933926
92	0.8648293332	0.3244140747
93	0.8650217241	0.3232849043
94	0.86673721	0.3220549131
95	0.8673945457	0.3198463304
96	0.8682923701	0.3186715348
97	0.8710980713	0.3177107346
98	0.8712102993	0.316556926
99	0.87084155	0.3157722372
100	0.8710820387	0.314976323
101	0.8710820387	0.3144037761
102	0.8712102993	0.3131912018
103	0.8715469835	0.3125115388
104	0.8736793164	0.3115515837
105	0.8738717073	0.3103477843
106	0.873198339	0.3099738632
107	0.874721434	0.3090996724
108	0.8756994212	0.3073538346
109	0.8787295785	0.3064068723
110	0.880268706	0.3045874267
111	0.8813749539	0.3029209509
112	0.8815352797	0.3026409682
113	0.8818078335	0.3015524551
114	0.8837798406	0.3000207876
115	0.8832988633	0.2991500567
116	0.8840203293	0.2984261616
117	0.8848379908	0.2967725896
118	0.885896141	0.2947806419
119	0.8859282061	0.2938214055
120	0.8874673336	0.2922265745
121	0.8876116268	0.2907416909
122	0.8881086367	0.2894847478
123	0.8882849951	0.2885144333
124	0.8890385263	0.2871146038
125	0.8891347218	0.2864739303
126	0.8888140702	0.2853869775
127	0.8893591778	0.2847478221
128	0.8902249371	0.2842441349
129	0.8901287416	0.2837220478
130	0.8906417841	0.2822780408
131	0.8906898818	0.2814762504
132	0.8922129768	0.28041702
133	0.8923412374	0.2798812827
134	0.892469498	0.2788437208
135	0.8926137912	0.2782689136
136	0.8925175958	0.2779925166
137	0.8925656935	0.2775509899
138	0.8926939541	0.2771589021
139	0.8948743847	0.2766267074
140	0.8953553621	0.2755246703
141	0.8953553621	0.27517193
142	0.8959325349	0.2742401837
143	0.8958042743	0.2737454288
144	0.8961088933	0.2730190182
145	0.8985618777	0.2715622489
146	0.8984817148	0.2703057292
147	0.8991069854	0.2692039375
148	0.898626008	0.2682948516
149	0.8992673112	0.2673535773
150	0.8996200279	0.2664310389
151	0.8991550831	0.2661300036
152	0.8995077998	0.2647926762
153	0.8994917673	0.2640992938
154	0.9003414939	0.2634857998
155	0.9007423084	0.2624964883
156	0.9018485563	0.2620208995
157	0.9020569798	0.2618093244
158	0.9024096965	0.2612609421
159	0.90261812	0.2601540824
160	0.9033556186	0.2595524811
161	0.9059047986	0.2586288922
162	0.9054398538	0.2577947615
163	0.9055360493	0.2571659351
164	0.9057605053	0.2565324038
165	0.9078126754	0.2554050804
166	0.9086143043	0.2543066453
167	0.9110833213	0.2531165816
168	0.9118849502	0.2518377966
169	0.9123979927	0.251139559
170	0.9136325012	0.250542196
171	0.9138248922	0.2498590842
172	0.9149632052	0.249185906
173	0.915844997	0.2484339602
174	0.9155724432	0.2481833055
175	0.9155724432	0.2479861289
176	0.915844997	0.247510215
177	0.9154441826	0.2468955198
178	0.916037388	0.2461773569
179	0.9155724432	0.2454082673
180	0.9167748866	0.2445498623
181	0.9169512449	0.243443773
182	0.917784939	0.242579236
183	0.9179933625	0.2419102506
184	0.9204142818	0.2410981601
185	0.9197088484	0.2407770011
186	0.9211357478	0.2404061518
187	0.9214243342	0.2398253583
188	0.9216808555	0.2395041237
189	0.921167813	0.2387609246
190	0.9218091161	0.2379494374
191	0.9224023215	0.2372407221
192	0.9220015071	0.2368976784
193	0.9223862889	0.2359762779
194	0.9223702564	0.2356217157
195	0.9225466147	0.2353694804
196	0.9219534093	0.2349239713
197	0.9218572139	0.2345968986
198	0.921889279	0.2341076125
199	0.9219373767	0.2335757204
200	0.92158466	0.2331305968
201	0.9213441714	0.2328235087
202	0.9229955269	0.2317137224
203	0.9231718853	0.2305503796
204	0.9235566671	0.2300534991
205	0.9235566671	0.2299357913
206	0.9234444391	0.2296443119
207	0.9232680807	0.2293186206
208	0.9230115595	0.2284653887
209	0.9235726997	0.2277591968
210	0.9234123739	0.227017238
211	0.9234604717	0.2267562875
212	0.9243903612	0.2259481584
213	0.9249354689	0.2254831337
214	0.9252240553	0.2247444055
215	0.9251919901	0.224016285
216	0.9269555737	0.2230834268
217	0.9266188896	0.2224755412
218	0.9269555737	0.2217541894
219	0.9269876389	0.221209773
220	0.9271158995	0.2206794461
221	0.9275327465	0.2203396603
222	0.9280778542	0.2198711142
223	0.9284786687	0.2193756347
224	0.9299376333	0.2183607462
225	0.9301460568	0.217787166
226	0.9309476857	0.217064094
227	0.9307873599	0.2159303422
228	0.9313324676	0.2150935345
229	0.9308514902	0.2145498157
230	0.9319898033	0.2141031419
231	0.9315248585	0.2135398407
232	0.9316050214	0.2129710175
233	0.9304827409	0.2124766788
234	0.9305789364	0.2120679303
235	0.9305629038	0.2114474531
236	0.9305789364	0.2106748935
237	0.9309156205	0.2102741603
238	0.9314607282	0.2098555936
239	0.9312523047	0.2093289462
240	0.9312843698	0.2090058839
241	0.9315729562	0.2081036289
242	0.931925673	0.207486372
243	0.9317012169	0.2069820178
244	0.9315569237	0.2065042254
245	0.9324387155	0.2060428058
246	0.932759367	0.2054902331
247	0.9332403444	0.2051498092
248	0.9340580059	0.2047369817
249	0.9339137127	0.2044612831
250	0.9355650682	0.2040600104
251	0.9353245795	0.2031864209
252	0.9355971334	0.2028586371
253	0.9362544691	0.2019686101
254	0.9362705017	0.2015415782
255	0.9368476745	0.2011366541
256	0.9367995767	0.2008303663
257	0.9369118048	0.2006733474
258	0.9374569124	0.2000490137
259	0.9374569124	0.1998751997
260	0.937777564	0.1993469762
261	0.9382264762	0.1988947522
262	0.9391403332	0.1983543869
263	0.9387074535	0.1980739886
264	0.9394449521	0.1977495646
265	0.9399419621	0.1971073842
266	0.9399740272	0.1964820141
267	0.9403908743	0.1962152187
268	0.9410001122	0.1953032208
269	0.9421063601	0.194495945
270	0.9421384253	0.1941707672
271	0.942491142	0.1937618458
272	0.943517227	0.1932929763
273	0.9441585301	0.1924214778
274	0.9440302695	0.1919956051
275	0.9441585301	0.1917553577
276	0.9432607058	0.1915006576
277	0.9453449409	0.1907762245
278	0.9444952143	0.1901672626
279	0.9457938531	0.1894905475
280	0.9461145047	0.1891160078
281	0.9463229282	0.1888592752
282	0.9462587979	0.1883439771
283	0.9472207526	0.1881050458
284	0.9465473843	0.1872689836
285	0.9475574367	0.186188757
286	0.9478460231	0.1859760383
287	0.9479422186	0.1858423965
288	0.9479422186	0.1857554401
289	0.9493210203	0.1855062039
290	0.9493210203	0.185369456
291	0.9493210203	0.1852384104
292	0.9491286294	0.1850422327
293	0.9485835217	0.184704304
294	0.9492889552	0.1843047334
295	0.9506837895	0.1835973366
296	0.9506036266	0.1831704879
297	0.9505555288	0.1828563294
298	0.9504753659	0.1826008145
299	0.9507479198	0.1820810887
300	0.9507799849	0.1818455508
301	0.9512449297	0.181292545
302	0.9518060699	0.1807565628
303	0.9517740048	0.1801455782
304	0.9522068844	0.1797855182
305	0.9519824283	0.1794071774
306	0.9522870473	0.1792926236
307	0.9527199269	0.1784379111
308	0.9529123178	0.1780446141
309	0.9526878617	0.1776187538
310	0.9528802527	0.1771454279
311	0.9533131323	0.1764922258
312	0.95336123	0.1762310041
313	0.9535856861	0.1757174398
314	0.9542269892	0.1754266055
315	0.9542430218	0.1751518762
316	0.9540185657	0.1749344919
317	0.953970468	0.1747679268
318	0.9540025331	0.1745457889
319	0.9539063377	0.174235559
320	0.9539223703	0.1739484725
321	0.9541949241	0.1737534325
322	0.9541949241	0.1734542541
323	0.9543231847	0.1733175061
324	0.9540025331	0.1731541999
325	0.9539544354	0.1729309643
326	0.9540506309	0.1725954843
327	0.9539384028	0.1724321411
328	0.953970468	0.1720124316
329	0.954275087	0.1716102819
330	0.9554775303	0.171040174
331	0.9561669312	0.1705491282
332	0.9565517131	0.1702770249
333	0.9570647556	0.1695964194
334	0.957048723	0.1693002061
335	0.9577541564	0.1686747689
336	0.9578984496	0.1680558475
337	0.9579305148	0.1673790269
338	0.9581870361	0.1668116938
339	0.9582992641	0.1664579039
340	0.9580267103	0.1660952549
341	0.9579305148	0.165787735
342	0.9594375772	0.1652902551
343	0.9594375772	0.1648628404
344	0.959710131	0.1646166615
345	0.9598383916	0.1640913379
346	0.9598383916	0.1638621447
347	0.9607041508	0.1630454743
348	0.9607041508	0.162818663
349	0.9608965418	0.1627081864
350	0.9604636622	0.1625071243
351	0.9604636622	0.1623013742
352	0.9615378449	0.1617666361
353	0.961874529	0.1613224068
354	0.9619226268	0.1609454331
355	0.9618584965	0.1606479618
356	0.9617302358	0.1603484768
357	0.9620989851	0.1601628937
358	0.9624517019	0.1595437285
359	0.9621470829	0.15920449
360	0.9623394738	0.1589499555
361	0.9629487118	0.1584216382
362	0.9631411027	0.158012608
363	0.9636701778	0.1576721203
364	0.9640228945	0.1571234037
365	0.9643595787	0.1566262989
366	0.9643595787	0.1565154126
367	0.9643595787	0.1563621548
368	0.9642473506	0.1561346406
