iter	Recall	Logloss
0	0.7551989258	0.6089407859
1	0.797765381	0.558446346
2	0.7834913125	0.5291485196
3	0.7786480395	0.5106788591
4	0.7800226978	0.4981300497
5	0.7784881955	0.4884439704
6	0.7840987196	0.4786852565
7	0.7823084669	0.4732380259
8	0.7831076869	0.468072423
9	0.7839228913	0.4646412417
10	0.7841786416	0.4584419877
11	0.7838589537	0.4542664706
12	0.7883026166	0.4509630127
13	0.7923786384	0.4484834892
14	0.7956874091	0.4449585577
15	0.7898051502	0.4418456014
16	0.7914355589	0.4383573815
17	0.7945045635	0.4351273223
18	0.793321718	0.4317472649
19	0.8003388693	0.4282437601
20	0.7983568038	0.4259836308
21	0.8018414028	0.4237366489
22	0.8022729816	0.4215360747
23	0.8061891594	0.418468328
24	0.8081552405	0.4167798821
25	0.810456994	0.4145275694
26	0.8120074807	0.413336065
27	0.8113041671	0.4118678954
28	0.8105209316	0.4102371539
29	0.813541983	0.4077352578
30	0.815060501	0.4068165183
31	0.8185451	0.4046842808
32	0.8200636179	0.4032181019
33	0.8191525072	0.4020450423
34	0.8159875961	0.4007519154
35	0.8200476335	0.3994223363
36	0.8188488036	0.3982573625
37	0.8200316491	0.39608705
38	0.8197918831	0.3938347957
39	0.8200636179	0.3927410719
40	0.822669075	0.3911910641
41	0.8228768722	0.3892439051
42	0.8266971436	0.3877316694
43	0.8292386631	0.3858224176
44	0.829718195	0.385073949
45	0.8294784291	0.3849976092
46	0.8290948035	0.3842707937
47	0.8294784291	0.3827519285
48	0.8300698518	0.3803494985
49	0.8293505539	0.3798403
50	0.8299739454	0.3784943188
51	0.8321158549	0.3773363972
52	0.8345454836	0.3755022641
53	0.835520532	0.3734791562
54	0.8380780358	0.3708579004
55	0.8404437269	0.3693427846
56	0.8421220888	0.3683512674
57	0.8436246224	0.3667500785
58	0.8451751091	0.3659881631
59	0.8476846598	0.3639903443
60	0.8485797861	0.3623665846
61	0.8505618516	0.3599677924
62	0.85193651	0.3583283751
63	0.8518885568	0.3574427982
64	0.8535829031	0.3564241533
65	0.856140407	0.3544467635
66	0.8571793929	0.3528524044
67	0.8579306597	0.35139163
68	0.8576908937	0.3495927558
69	0.8606320231	0.3475983224
70	0.8605840699	0.3463233528
71	0.8614951807	0.3450070061
72	0.8605361168	0.343831489
73	0.8616550247	0.3427130911
74	0.8607598983	0.3422424311
75	0.8623743227	0.341175246
76	0.8629177922	0.3396006907
77	0.8639248094	0.3379071888
78	0.8648678889	0.3371020588
79	0.8666421573	0.3361846562
80	0.8666101885	0.3341976781
81	0.8680487844	0.3326938167
82	0.8680487844	0.33196968
83	0.8690877703	0.3308595936
84	0.8699189591	0.3295626114
85	0.8693754895	0.3280362261
86	0.8700148655	0.3262847906
87	0.8696312399	0.3257537417
88	0.8712456642	0.3246041624
89	0.8724924474	0.3234633859
90	0.8728441042	0.3232201948
91	0.871917009	0.3227238764
92	0.8719489778	0.3218472866
93	0.8740908873	0.3207579354
94	0.8739949809	0.3196889608
95	0.8735793865	0.318414456
96	0.8750179824	0.3177813678
97	0.8752897172	0.3171356726
98	0.8762967344	0.3158106656
99	0.8754655456	0.3137203236
100	0.8768561884	0.3129557492
101	0.8760889372	0.3124128726
102	0.8782947843	0.3111074833
103	0.8799571618	0.3094081814
104	0.8795095986	0.3087014421
