iter	Passed	Remaining
409	4837	6961
410	4848	6948
411	4861	6937
412	4872	6925
413	4885	6914
414	4896	6902
415	4907	6889
416	4918	6875
417	4929	6863
418	4940	6850
419	4952	6839
420	4965	6828
421	4977	6818
422	4988	6804
423	4999	6791
424	5010	6778
425	5021	6765
426	5032	6752
427	5042	6739
428	5054	6727
429	5065	6715
430	5078	6704
431	5090	6692
432	5103	6682
433	5117	6673
434	5128	6661
435	5140	6649
436	5153	6638
437	5168	6631
438	5179	6619
439	5191	6607
440	5202	6595
441	5214	6582
442	5226	6571
443	5237	6558
444	5267	6569
445	5278	6557
446	5290	6545
447	5301	6532
448	5312	6519
449	5323	6506
450	5334	6493
451	5345	6481
452	5356	6468
453	5367	6455
454	5379	6443
455	5389	6429
456	5399	6416
457	5411	6404
458	5422	6391
459	5434	6379
460	5445	6366
461	5457	6354
462	5468	6342
463	5479	6330
464	5490	6317
465	5502	6305
466	5514	6293
467	5526	6282
468	5537	6269
469	5548	6257
470	5560	6245
471	5572	6233
472	5585	6223
473	5596	6210
474	5608	6198
475	5619	6186
476	5631	6174
477	5643	6162
478	5654	6150
479	5666	6138
480	5678	6126
481	5689	6114
482	5701	6103
483	5713	6091
484	5725	6079
485	5736	6067
486	5748	6055
487	5760	6043
488	5771	6031
489	5783	6019
490	5795	6007
491	5808	5996
492	5820	5985
493	5832	5974
494	5844	5962
495	5856	5950
496	5867	5938
497	5877	5925
498	5889	5912
499	5900	5900
500	5912	5888
501	5924	5877
502	5935	5864
503	5947	5853
504	5960	5842
505	5971	5829
506	5983	5818
507	5995	5807
508	6007	5795
509	6018	5782
510	6030	5770
511	6041	5758
512	6052	5746
513	6063	5733
514	6076	5722
515	6089	5711
516	6102	5701
517	6114	5689
518	6125	5676
519	6137	5665
520	6149	5653
521	6161	5642
522	6173	5630
523	6184	5618
524	6196	5606
525	6207	5593
526	6219	5581
527	6230	5569
528	6242	5557
529	6256	5548
530	6285	5552
531	6297	5539
532	6308	5527
533	6319	5514
534	6330	5502
535	6342	5490
536	6353	5477
537	6363	5464
538	6375	5452
539	6387	5440
540	6398	5428
541	6409	5416
542	6421	5404
543	6432	5391
544	6444	5380
545	6455	5367
546	6466	5355
547	6478	5343
548	6489	5330
549	6500	5318
550	6511	5306
551	6521	5293
552	6532	5280
553	6543	5268
554	6555	5256
555	6566	5243
556	6577	5231
557	6589	5219
558	6600	5206
559	6612	5195
560	6624	5183
561	6635	5171
562	6647	5159
563	6659	5148
564	6670	5136
565	6682	5123
566	6693	5111
567	6704	5099
568	6716	5087
569	6726	5074
570	6738	5063
571	6750	5050
572	6761	5038
573	6772	5026
574	6783	5013
575	6794	5001
576	6806	4989
577	6817	4977
578	6827	4964
579	6838	4952
580	6849	4939
581	6859	4926
582	6870	4914
583	6881	4902
584	6892	4889
585	6904	4877
586	6914	4865
587	6925	4852
588	6936	4840
589	6948	4828
590	6959	4816
591	6970	4803
592	6981	4791
593	6991	4778
594	7003	4766
595	7015	4755
596	7026	4743
597	7037	4730
598	7049	4719
599	7060	4707
600	7071	4694
601	7084	4683
602	7096	4671
603	7107	4660
604	7119	4648
605	7131	4636
606	7150	4629
607	7165	4619
608	7180	4610
609	7195	4600
610	7210	4590
611	7226	4581
612	7241	4571
613	7257	4562
614	7274	4553
615	7304	4553
616	7320	4543
617	7335	4534
618	7350	4524
619	7365	4514
620	7381	4504
621	7397	4495
622	7411	4485
623	7426	4475
624	7441	4465
625	7456	4455
626	7471	4444
627	7485	4434
628	7500	4424
629	7515	4413
630	7529	4403
631	7543	4392
632	7558	4382
633	7574	4372
634	7589	4362
635	7603	4351
636	7617	4340
637	7631	4330
638	7646	4319
639	7659	4308
640	7673	4297
641	7689	4288
642	7705	4278
643	7720	4267
644	7735	4257
645	7750	4247
646	7766	4237
647	7781	4226
648	7796	4216
649	7810	4205
650	7825	4195
651	7841	4185
652	7855	4174
653	7869	4163
654	7883	4152
655	7899	4142
656	7914	4131
657	7929	4121
658	7944	4111
659	7959	4100
660	7974	4089
661	7988	4078
662	8003	4068
663	8018	4057
664	8033	4046
665	8048	4036
666	8064	4026
667	8079	4015
668	8095	4005
669	8109	3994
670	8124	3983
671	8139	3972
672	8154	3962
673	8169	3951
674	8185	3941
675	8200	3930
676	8216	3920
677	8232	3909
678	8247	3898
679	8262	3888
680	8277	3877
681	8313	3876
682	8330	3866
683	8345	3855
684	8361	3845
685	8378	3834
686	8393	3824
687	8410	3813
688	8425	3803
689	8441	3792
690	8454	3780
691	8465	3768
692	8476	3755
693	8489	3743
694	8500	3730
695	8511	3717
696	8522	3705
697	8534	3692
698	8546	3680
699	8558	3667
700	8569	3654
701	8581	3642
702	8592	3630
703	8603	3617
704	8615	3604
705	8627	3592
706	8638	3580
707	8649	3567
708	8660	3554
709	8673	3542
710	8684	3530
711	8696	3517
712	8707	3504
713	8718	3492
714	8730	3479
715	8741	3467
716	8753	3454
717	8764	3442
718	8776	3430
719	8787	3417
720	8798	3404
721	8810	3392
722	8821	3379
723	8833	3367
724	8844	3354
725	8855	3342
726	8866	3329
727	8878	3317
728	8890	3304
729	8901	3292
730	8912	3279
731	8923	3266
732	8934	3254
733	8946	3242
734	8957	3229
735	8968	3217
736	8979	3204
737	8990	3191
738	9001	3179
739	9012	3166
740	9024	3154
741	9035	3141
742	9046	3129
743	9058	3116
744	9070	3104
745	9082	3092
746	9094	3080
747	9105	3067
748	9115	3054
749	9131	3043
750	9142	3031
751	9153	3018
752	9164	3006
753	9175	2993
754	9187	2981
755	9198	2968
756	9210	2956
757	9221	2944
758	9232	2931
759	9243	2918
760	9253	2906
761	9264	2893
762	9278	2882
763	9289	2869
764	9301	2857
765	9332	2850
766	9345	2838
767	9356	2826
768	9366	2813
769	9378	2801
770	9389	2788
771	9400	2776
772	9412	2764
773	9423	2751
774	9435	2739
775	9446	2726
776	9457	2714
777	9469	2702
778	9481	2689
779	9492	2677
780	9504	2665
781	9515	2652
782	9527	2640
783	9538	2628
784	9550	2615
785	9560	2603
786	9572	2590
787	9582	2578
788	9594	2565
789	9606	2553
790	9617	2541
791	9628	2528
792	9639	2516
793	9651	2503
794	9662	2491
795	9673	2479
796	9684	2466
797	9695	2454
798	9706	2441
799	9717	2429
800	9728	2416
801	9739	2404
802	9751	2392
803	9762	2379
804	9773	2367
805	9785	2355
806	9797	2343
807	9808	2330
808	9820	2318
809	9832	2306
810	9842	2293
811	9854	2281
812	9865	2269
813	9876	2256
814	9887	2244
815	9899	2232
816	9910	2219
817	9922	2207
818	9934	2195
819	9945	2183
820	9955	2170
821	9966	2158
822	9977	2145
823	9988	2133
824	9998	2120
825	10008	2108
826	10019	2096
827	10031	2083
828	10042	2071
829	10054	2059
830	10066	2047
831	10079	2035
832	10090	2023
833	10102	2010
834	10113	1998
835	10126	1986
836	10138	1974
837	10150	1962
838	10161	1949
839	10172	1937
840	10184	1925
841	10194	1913
842	10207	1900
843	10217	1888
844	10231	1876
845	10242	1864
846	10254	1852
847	10265	1840
848	10276	1827
849	10287	1815
850	10298	1803
851	10309	1790
852	10321	1778
853	10353	1770
854	10365	1757
855	10376	1745
856	10387	1733
857	10398	1720
858	10409	1708
859	10421	1696
860	10433	1684
861	10446	1672
862	10457	1660
863	10468	1647
864	10479	1635
865	10490	1623
866	10502	1611
867	10513	1598
868	10526	1586
869	10537	1574
870	10548	1562
871	10559	1550
872	10570	1537
873	10582	1525
874	10594	1513
875	10606	1501
876	10617	1489
877	10628	1476
878	10640	1464
879	10651	1452
880	10662	1440
881	10674	1428
882	10685	1415
883	10697	1403
884	10708	1391
885	10719	1379
886	10730	1366
887	10741	1354
888	10751	1342
889	10762	1330
890	10773	1317
891	10784	1305
892	10796	1293
893	10807	1281
894	10819	1269
895	10830	1257
896	10841	1244
897	10852	1232
898	10862	1220
899	10874	1208
900	10887	1196
901	10900	1184
902	10911	1172
903	10922	1159
904	10933	1147
905	10945	1135
906	10955	1123
907	10967	1111
908	10978	1099
909	10989	1086
910	11000	1074
911	11012	1062
912	11024	1050
913	11036	1038
914	11047	1026
915	11059	1014
916	11070	1002
917	11081	989
918	11093	977
919	11104	965
920	11116	953
921	11127	941
922	11138	929
923	11150	917
924	11161	904
925	11172	892
926	11184	880
927	11197	868
928	11208	856
929	11219	844
930	11231	832
931	11242	820
932	11254	808
933	11265	796
934	11277	784
935	11288	771
936	11300	759
937	11311	747
938	11322	735
939	11333	723
940	11365	712
941	11379	700
942	11394	688
943	11407	676
944	11422	664
945	11436	652
946	11448	640
947	11461	628
948	11476	616
949	11490	604
950	11505	592
951	11521	580
952	11535	568
953	11551	557
954	11563	544
955	11577	532
956	11593	520
957	11609	508
958	11622	496
959	11637	484
960	11650	472
961	11664	460
962	11679	448
963	11693	436
964	11710	424
965	11726	412
966	11739	400
967	11751	388
968	11763	376
969	11775	364
970	11785	351
971	11796	339
972	11808	327
973	11818	315
974	11830	303
975	11842	291
976	11853	279
977	11865	266
978	11876	254
979	11888	242
980	11899	230
981	11910	218
982	11921	206
983	11932	194
984	11943	181
985	11955	169
986	11966	157
987	11977	145
988	11988	133
989	11999	121
990	12012	109
991	12023	96
992	12034	84
993	12047	72
994	12059	60
995	12071	48
996	12082	36
997	12094	24
998	12105	12
999	12117	0
