iter	Passed	Remaining
410	4206	6028
411	4216	6017
412	4227	6008
413	4237	5997
414	4246	5986
415	4256	5975
416	4267	5965
417	4276	5954
418	4287	5944
419	4297	5934
420	4307	5924
421	4317	5913
422	4327	5902
423	4338	5893
424	4348	5883
425	4359	5873
426	4370	5864
427	4380	5854
428	4390	5844
429	4400	5833
430	4411	5823
431	4421	5813
432	4432	5803
433	4442	5793
434	4452	5782
435	4462	5773
436	4473	5763
437	4483	5752
438	4494	5742
439	4504	5733
440	4514	5722
441	4525	5712
442	4535	5702
443	4545	5692
444	4555	5681
445	4566	5672
446	4576	5661
447	4586	5651
448	4596	5641
449	4607	5631
450	4618	5621
451	4628	5611
452	4638	5601
453	4649	5591
454	4659	5580
455	4669	5571
456	4680	5560
457	4689	5550
458	4699	5539
459	4709	5528
460	4719	5518
461	4729	5508
462	4739	5497
463	4750	5487
464	4760	5476
465	4770	5466
466	4779	5455
467	4789	5444
468	4799	5433
469	4809	5423
470	4819	5413
471	4829	5401
472	4839	5391
473	4849	5381
474	4859	5370
475	4870	5361
476	4880	5351
477	4891	5341
478	4901	5331
479	4911	5320
480	4921	5310
481	4932	5300
482	4942	5290
483	4951	5279
484	4963	5270
485	4973	5259
486	4984	5250
487	4994	5240
488	5003	5229
489	5014	5218
490	5023	5207
491	5033	5196
492	5043	5186
493	5053	5176
494	5063	5165
495	5073	5155
496	5084	5145
497	5095	5136
498	5105	5125
499	5116	5116
500	5125	5105
501	5136	5095
502	5146	5084
503	5156	5074
504	5167	5065
505	5177	5054
506	5187	5043
507	5197	5033
508	5207	5023
509	5217	5012
510	5226	5001
511	5237	4991
512	5247	4981
513	5258	4971
514	5269	4962
515	5279	4951
516	5289	4941
517	5299	4931
518	5309	4921
519	5319	4910
520	5332	4902
521	5342	4892
522	5352	4881
523	5363	4872
524	5373	4861
525	5383	4851
526	5393	4841
527	5403	4830
528	5415	4821
529	5426	4811
530	5436	4801
531	5446	4791
532	5457	4781
533	5467	4771
534	5477	4760
535	5487	4750
536	5498	4740
537	5508	4730
538	5518	4720
539	5529	4709
540	5539	4699
541	5549	4689
542	5559	4678
543	5569	4668
544	5580	4658
545	5590	4648
546	5600	4637
547	5610	4627
548	5620	4616
549	5630	4606
550	5640	4596
551	5651	4586
552	5661	4575
553	5671	4565
554	5681	4555
555	5691	4545
556	5701	4534
557	5711	4524
558	5721	4513
559	5731	4503
560	5742	4493
561	5752	4483
562	5762	4472
563	5772	4462
564	5782	4452
565	5793	4442
566	5803	4432
567	5814	4421
568	5823	4410
569	5833	4400
570	5842	4389
571	5853	4380
572	5864	4369
573	5874	4359
574	5884	4349
575	5895	4339
576	5905	4329
577	5915	4318
578	5925	4308
