iter	Logloss
0	0.608817764
1	0.5586578842
2	0.5275105074
3	0.5081731466
4	0.4960001052
5	0.4855059547
6	0.4783888601
7	0.4732795599
8	0.4683534089
9	0.4637486318
10	0.4610698745
11	0.4558003326
12	0.453888777
13	0.4513477042
14	0.4479634104
15	0.4439076286
16	0.4411898838
17	0.4369584109
18	0.434696504
19	0.4322091165
20	0.4296414442
21	0.4284052088
22	0.4267408728
23	0.4248482804
24	0.4232011339
25	0.4210704756
26	0.4194154269
27	0.4175835096
28	0.4150143908
29	0.4119229926
30	0.4105151388
31	0.4089046764
32	0.4073192817
33	0.4051210502
34	0.4027421027
35	0.4012037079
36	0.3978081229
37	0.3969720229
38	0.3947936537
39	0.3924903983
40	0.3910465379
41	0.3893829971
42	0.3871973527
43	0.3848099856
44	0.3838326258
45	0.3824041855
46	0.3811606321
47	0.379043943
48	0.377582952
49	0.3757065572
50	0.3740790094
51	0.3730109258
52	0.3708581697
53	0.3680014563
54	0.3669851351
55	0.3650777057
56	0.3640892077
57	0.3629140702
58	0.3622055838
59	0.3607020407
60	0.3583031613
61	0.3575679495
62	0.3560803661
63	0.3553703254
64	0.3545268101
65	0.3528080941
66	0.3515354979
67	0.3499611072
68	0.3487706021
69	0.3475460884
70	0.3470480478
71	0.345709387
72	0.3452510277
73	0.344273423
74	0.343755764
75	0.3418458303
76	0.3406962672
77	0.3391740297
78	0.3371720621
79	0.3359451682
80	0.3347339711
81	0.3330771018
82	0.3318256457
83	0.3314425319
84	0.3303862695
85	0.3283551529
86	0.3271228461
87	0.3257464353
88	0.3247664751
89	0.3234514861
90	0.3229649773
91	0.3221774221
92	0.3215464234
93	0.3200964951
94	0.3188178684
95	0.3178534257
96	0.3159869149
97	0.3143816987
98	0.3136023637
99	0.3127737744
100	0.3118145735
101	0.3104933154
102	0.3097253862
103	0.3086272646
104	0.3069684858
105	0.3063497971
106	0.3056724087
107	0.3051639488
108	0.3047857729
109	0.3034350294
110	0.3016263497
111	0.3000930962
112	0.2984649794
113	0.2972573022
114	0.2963866641
115	0.2953665115
116	0.294778914
117	0.2940840914
118	0.2929568351
119	0.2920010362
120	0.2904876727
121	0.289421506
122	0.2888699692
123	0.2878275667
124	0.2863493515
125	0.2859521521
126	0.2856845078
127	0.2852213348
128	0.2845603009
129	0.283461908
130	0.2825034646
131	0.2820672904
132	0.2810234682
133	0.2799297106
134	0.2783020654
135	0.2775190003
136	0.2767803372
137	0.2754800484
138	0.2745426079
139	0.2738986775
140	0.273601172
141	0.2728309745
142	0.2721686158
143	0.2718152983
144	0.2706476851
145	0.2698683601
146	0.2691088386
147	0.2688314513
148	0.2680040565
149	0.2669608595
150	0.26633686
151	0.2651835386
152	0.2637185074
153	0.2626895816
154	0.2613450178
155	0.2605491676
156	0.2597226714
157	0.2589125561
158	0.2585089737
159	0.2577298898
160	0.2566733778
161	0.2562568713
162	0.2557523035
163	0.2548596774
164	0.253981993
165	0.2533650228
166	0.2530331916
167	0.2524116909
168	0.2518862184
169	0.2510594034
170	0.2500136756
171	0.2493434289
172	0.2485336589
173	0.2480768975
174	0.2478744025
175	0.2474340959
176	0.2468481714
177	0.2465781591
178	0.246416877
179	0.2460621661
180	0.2457799086
181	0.2443097022
182	0.2436795169
183	0.2429642746
184	0.2425531146
185	0.2420135013
186	0.2409542488
187	0.2406234322
188	0.2398016054
189	0.2390804268
190	0.2382031268
191	0.237821806
192	0.2374455455
193	0.2371317363
194	0.2367554621
195	0.2364982225
196	0.2360418861
197	0.2356047858
198	0.2353037412
199	0.2349565228
200	0.234649189
201	0.2342409293
202	0.2333751534
203	0.2327942846
204	0.2320225866
205	0.2311171166
206	0.2304532476
207	0.2296079294
208	0.228977855
209	0.2284152303
210	0.227708524
211	0.2272462038
212	0.226387962
213	0.2259181759
214	0.2248744757
215	0.2243172654
216	0.2235710722
217	0.223394652
218	0.2228081997
219	0.2223649418
220	0.2217074861
221	0.2213708132
222	0.2205234963
223	0.2198260284
224	0.2191257165
225	0.2183045214
226	0.2175370696
227	0.2161094414
228	0.2152750372
229	0.2143385481
230	0.2137481885
231	0.2132350036
232	0.2130184211
233	0.2127978772
234	0.2125846049
235	0.2122012521
236	0.2118333393
237	0.2109764343
238	0.2104463275
239	0.2102053039
240	0.2100985442
241	0.2097239651
242	0.2094262855
243	0.2092660429
244	0.2090240885
245	0.2086713231
246	0.2077577679
247	0.2072836232
248	0.2068575002
249	0.2063825076
250	0.2056421154
251	0.20504409
252	0.2043803819
253	0.2036105726
254	0.2029358526
255	0.2024165903
256	0.201699631
257	0.2010688996
258	0.2001694248
259	0.1994502848
260	0.1991310143
261	0.1987080923
262	0.1979707636
263	0.1975595039
264	0.1971827246
265	0.1969013365
266	0.1963734473
267	0.1957991943
268	0.1950640835
269	0.1947568271
270	0.194605921
271	0.194222512
272	0.1941094549
273	0.1937685513
274	0.193131993
275	0.1929542498
276	0.1926126514
277	0.1920430823
278	0.1915392224
279	0.1912958943
280	0.1907608824
281	0.1899207065
282	0.1896387988
283	0.1889605714
284	0.1884588721
285	0.1881317587
286	0.1874925717
287	0.1872985985
288	0.1866821989
289	0.1862973505
290	0.1861547805
291	0.1855092815
292	0.1849530895
293	0.1846417841
294	0.1841852923
295	0.1836321479
296	0.1831765779
297	0.182580192
298	0.1822406838
299	0.1816786535
300	0.1813699667
301	0.1809799794
302	0.1807636131
303	0.1805622001
304	0.1802661244
305	0.1797436639
306	0.1792001905
307	0.1788536411
308	0.1785543131
309	0.1781987361
310	0.1779459737
311	0.1775418202
312	0.177203389
313	0.1765281937
314	0.176305405
315	0.1758282915
316	0.1756201189
317	0.1752842608
318	0.1747492255
319	0.1742805091
320	0.1739161788
321	0.1737977036
322	0.1734603347
323	0.1730458823
324	0.1724910524
325	0.1717743604
326	0.1716115179
327	0.1712628111
328	0.1711309177
329	0.1708360561
330	0.1706284679
331	0.1703746585
332	0.1700874165
333	0.1699510747
334	0.1696628896
335	0.1691756787
336	0.1688860097
337	0.1684505866
338	0.1679779984
339	0.1677109929
340	0.1672365228
341	0.1666473094
342	0.1662597792
343	0.165792814
344	0.165504827
345	0.1651700054
346	0.1647251653
347	0.1645713795
348	0.1641708499
349	0.1637780188
350	0.1630016358
351	0.1627704956
352	0.1625915047
353	0.1624418564
354	0.162103833
355	0.1619470399
356	0.1618293581
357	0.1615845653
358	0.1613540663
359	0.1611189779
360	0.1609739023
361	0.1601705616
362	0.1594741041
363	0.1592327467
364	0.1588134006
365	0.1583724229
366	0.1580127266
367	0.157590589
368	0.1573470015
369	0.1571069005
370	0.1565185485
371	0.1563505913
372	0.1559576398
373	0.1556821882
374	0.1550405235
375	0.1543984003
376	0.1538752948
377	0.1534781582
378	0.15278779
379	0.1524269678
380	0.1518039898
381	0.1515678017
382	0.1513730738
383	0.1511364485
384	0.1507270455
385	0.1504082314
386	0.1502677917
387	0.1495224824
388	0.1490501545
389	0.1489452176
390	0.1483719273
391	0.1477629894
392	0.1475508935
393	0.1473785565
394	0.1472118223
395	0.1470256899
396	0.1468545881
397	0.146676502
398	0.1463673035
399	0.1461094789
400	0.1455362936
401	0.1452408297
402	0.1450772825
403	0.1449395783
404	0.1445426921
405	0.1441419892
406	0.1438413754
407	0.1434795357
408	0.1430679034
409	0.1429110215
410	0.1427233602
411	0.1425620308
412	0.1420217518
413	0.141832479
414	0.1416977336
415	0.1415806017
416	0.1412261465
417	0.1409899589
418	0.1406233064
419	0.1404575557
420	0.1399976705
421	0.1397097233
422	0.1395595985
423	0.1394111103
424	0.1389072013
425	0.1383663207
426	0.1379158809
427	0.1373854286
428	0.1370272027
429	0.1365753558
430	0.1361682192
431	0.1357851878
432	0.1353311775
433	0.1351429957
434	0.1347323656
435	0.1341273949
436	0.1336471128
437	0.1333818937
438	0.1330861227
439	0.1327969259
440	0.1324626158
441	0.1322546974
442	0.1319829641
443	0.1314279428
444	0.1312960066
445	0.130974664
446	0.1307252209
447	0.1306334424
448	0.1304048129
449	0.1301950339
450	0.1298954563
451	0.1296549989
452	0.1292368734
453	0.1289235888
454	0.1288170845
455	0.1285269874
456	0.1283409703
457	0.1281987593
458	0.1280147691
459	0.1278979225
460	0.1277550965
461	0.1276349537
462	0.1275928439
463	0.1275173906
464	0.1274624619
465	0.1273924945
466	0.1273094011
467	0.1272353523
468	0.1271331965
469	0.1270430832
470	0.1269170601
471	0.1268287804
472	0.1265709688
473	0.1263598693
474	0.126275819
475	0.1259324042
476	0.1256632043
477	0.1253995988
478	0.1251643156
479	0.1245051298
480	0.1242476262
481	0.1239522717
482	0.1235719278
483	0.123424658
484	0.1230860409
485	0.1230064807
486	0.1228648393
487	0.1227293746
488	0.1226416136
489	0.1225559059
490	0.1225213691
491	0.1224290741
492	0.1220219763
493	0.1216554132
494	0.1215323752
495	0.1212679488
496	0.120842729
497	0.1202968468
498	0.1199596711
499	0.1197767222
500	0.1196415166
501	0.1192799538
502	0.1191365323
503	0.1189096753
504	0.1184709155
505	0.1183285476
506	0.118214001
507	0.1180604213
508	0.1179040046
509	0.1178030411
510	0.1176603986
511	0.1175385517
512	0.1172515499
513	0.1169421426
514	0.1166694582
515	0.1165793693
516	0.1163213749
517	0.1161693141
518	0.1159156514
519	0.1157276494
520	0.1152989329
521	0.1149304132
522	0.1147309649
523	0.1144376857
524	0.1143078414
525	0.1140361833
526	0.1139520961
527	0.1138647209
528	0.1135529561
529	0.1131535359
530	0.1129331777
531	0.1126350957
532	0.1123919688
533	0.1119962965
534	0.1116941585
535	0.1115199502
536	0.1113815609
537	0.1108198812
538	0.1104406136
539	0.1101433019
540	0.1098548378
541	0.1097324579
542	0.1095610974
543	0.1092587639
544	0.1090521553
545	0.108982196
546	0.1087146766
547	0.1085563171
548	0.1084214313
549	0.1082485076
550	0.1080051516
551	0.1077442971
552	0.1076720925
553	0.1075667435
554	0.1072357473
555	0.1071253515
556	0.1069737073
557	0.1069245931
558	0.1068402639
559	0.1067604793
560	0.1064342307
561	0.1060730557
562	0.1059797965
563	0.1058760306
564	0.1056306793
565	0.1054115344
566	0.1051240866
567	0.1049147085
568	0.1048786991
569	0.1047793768
570	0.1047485746
571	0.1044881022
572	0.1039782252
573	0.1037366524
574	0.1033365439
575	0.1029695907
576	0.1027093591
577	0.1026530246
578	0.1024978118
579	0.1023924851
580	0.1023153543
581	0.1020769349
582	0.101870219
583	0.1016625443
584	0.101421522
585	0.1013503354
586	0.1012957805
587	0.101240672
588	0.1012034088
589	0.1011202042
590	0.1007581271
591	0.100654157
592	0.1004908265
593	0.100201986
594	0.1001316995
595	0.1000598229
596	0.09994092557
597	0.09984295662
598	0.09979362585
599	0.09958672522
600	0.09939643143
601	0.09922852489
602	0.09912860807
603	0.09901414092
604	0.09880227259
605	0.09861571263
606	0.09850999435
607	0.09835713266
608	0.09826115794
609	0.09815391647
610	0.09808292177
611	0.09787416813
612	0.09783270085
613	0.09751829547
614	0.09723009043
615	0.09713703509
616	0.09695251185
617	0.09686586054
618	0.0966616741
619	0.09648131159
620	0.09632635059
621	0.09611575568
622	0.09603431668
623	0.09582960692
624	0.09548905344
625	0.09534409383
626	0.09527036771
627	0.09499775116
628	0.09493516717
629	0.09483536769
630	0.0947721651
631	0.09468702216
632	0.09462008896
633	0.09448445809
634	0.09426791904
635	0.09414899726
636	0.0941002325
637	0.09402586687
638	0.09384328792
639	0.09361983091
640	0.09346303645
641	0.09320060309
642	0.09299930569
643	0.09276091782
644	0.09256235053
645	0.09246869711
646	0.09229543558
647	0.09208729849
648	0.09189773883
649	0.09162271436
650	0.0915339386
651	0.09143832604
652	0.09113037766
653	0.09107407473
654	0.09090550636
655	0.09074478465
656	0.09057393256
657	0.09044779534
658	0.09032738406
659	0.09022863258
660	0.09000850105
661	0.08978437289
662	0.08957891083
663	0.08940631529
664	0.0892473276
665	0.08920358508
666	0.08906221739
667	0.08892304498
668	0.08882346764
669	0.08873218111
670	0.0886975414
671	0.08854332486
672	0.08845456529
673	0.0882009543
674	0.0881575732
675	0.08805477861
676	0.08788515291
677	0.08766453045
678	0.08762338008
679	0.08754667838
680	0.0874533607
681	0.08720119524
682	0.08706549517
683	0.08699496881
684	0.08687879269
685	0.08676238848
686	0.08671382756
687	0.08662509673
688	0.08655174654
689	0.08639274857
690	0.08621840398
691	0.08610153751
692	0.0857660698
693	0.08554566048
694	0.08545582623
695	0.08516728804
696	0.0851108518
697	0.08505678635
698	0.08501245172
699	0.08484877769
700	0.08455678546
701	0.08435329678
702	0.08428955968
703	0.08420594538
704	0.08402380618
705	0.08394819149
706	0.08388867654
707	0.08384003307
708	0.08378095055
709	0.08374219871
710	0.08370958197
711	0.08354932354
712	0.08341079097
713	0.08322405084
714	0.08301357688
715	0.08278125838
716	0.082566971
717	0.08240864321
718	0.08229963849
719	0.08223183725
720	0.08201546036
721	0.08192516137
722	0.08176984202
723	0.08158864957
724	0.08135600559
725	0.08118322954
726	0.08105630528
727	0.08102756985
728	0.08088166057
729	0.08083360382
730	0.08078159465
731	0.08068777381
732	0.08044667007
733	0.08038360567
734	0.08023506303
735	0.0800122413
736	0.07988761517
737	0.07984320337
738	0.07970821465
739	0.07946373697
740	0.07932858411
741	0.07924974398
742	0.07917014085
743	0.07910021896
744	0.07904605982
745	0.07898537495
746	0.07888194558
747	0.07880835905
748	0.07869893812
749	0.07865554428
750	0.0784729104
751	0.07828687642
752	0.07823546846
753	0.07815756127
754	0.0779503705
755	0.07779945629
756	0.07774520923
757	0.07757136694
758	0.07752803707
759	0.07749468449
760	0.07736065202
761	0.07722457673
762	0.07720161312
763	0.07706238555
764	0.07688351088
765	0.07682054329
766	0.07677837454
767	0.07676999412
768	0.07660231297
769	0.07655326591
770	0.07652154775
771	0.07642999201
772	0.076389225
773	0.07623183433
774	0.07617994276
775	0.07604860568
776	0.07600608461
777	0.07595753669
778	0.07582749757
779	0.07561979954
780	0.07557122124
781	0.07536523204
782	0.0752338978
783	0.07492844893
784	0.07470318399
785	0.07455504315
786	0.07441701703
787	0.07427213907
788	0.07404233893
789	0.07402189255
790	0.07383442077
791	0.07365723432
792	0.07360597694
793	0.0734859454
794	0.0731873835
795	0.07312294396
796	0.07308089774
797	0.07290952018
798	0.07283503549
799	0.07277920993
800	0.07254729984
801	0.07244240861
802	0.07228508765
803	0.07224225459
804	0.07206801952
805	0.07200085007
806	0.07192261879
807	0.07179155789
808	0.07166444347
809	0.07161569256
810	0.07156150447
811	0.07144191109
812	0.07131308679
813	0.07111173178
814	0.07106280242
815	0.07100818529
816	0.0709905488
817	0.07094141977
818	0.07086858359
819	0.07084058528
820	0.07082481849
821	0.07066041661
822	0.07062436648
823	0.07060301554
824	0.07057982019
825	0.07041360333
826	0.07005021991
827	0.07001506538
828	0.06995106776
829	0.06981848112
830	0.06977059921
831	0.06971670688
832	0.06968147638
833	0.06962959162
834	0.06936699603
835	0.06922314339
836	0.06918010924
837	0.06904478897
838	0.06897090261
839	0.0688215556
840	0.06877519254
841	0.0685877774
842	0.06851488184
843	0.06838774643
844	0.06827368276
845	0.0680602927
846	0.06796119627
847	0.067847162
848	0.06777822688
849	0.06768659229
850	0.06757705067
851	0.0675281762
852	0.06746350068
853	0.06732994871
854	0.06720629064
855	0.06715269172
856	0.06708223046
857	0.06697804668
858	0.06680439969
859	0.0667062364
860	0.06661186775
861	0.06651373991
862	0.06635727424
863	0.0663031941
864	0.06622676548
865	0.06619225283
866	0.06613689803
867	0.0661074695
868	0.06606354241
869	0.06588084163
870	0.06583614868
871	0.0657200073
872	0.06553733294
873	0.06535192232
874	0.06525722741
875	0.06508786518
876	0.06493718088
877	0.06476392645
878	0.06450124526
879	0.06442153222
880	0.06426741146
881	0.06415288309
882	0.06403960823
883	0.06396486342
884	0.0639174357
885	0.06383914963
886	0.06372459507
887	0.06361682501
888	0.06357281871
889	0.06353183486
890	0.06338561255
891	0.0633316003
892	0.06330588676
893	0.06322073942
894	0.06311008165
895	0.0630794112
896	0.06299904871
897	0.06296760169
898	0.06295731529
899	0.06277518995
900	0.06262228207
901	0.06255198478
902	0.06252661172
903	0.06243665073
904	0.06232661004
905	0.06220451731
906	0.06217336063
907	0.06215498875
908	0.06205304989
909	0.06196508453
910	0.06185576183
911	0.06177493842
912	0.06173671427
913	0.06164377518
914	0.06156811372
915	0.06150352077
916	0.06139768139
917	0.06132316961
918	0.06131012042
919	0.06119569408
920	0.0611877463
921	0.06104174898
922	0.06100100854
923	0.06092370035
924	0.06088384998
925	0.06077282005
926	0.06067555823
927	0.06059729941
928	0.06058932075
929	0.06056379599
930	0.0603396606
931	0.06031182794
932	0.06018475928
933	0.06014764029
934	0.06006772687
935	0.06002691423
936	0.05996966114
937	0.05994122092
938	0.05980485772
939	0.05978119096
940	0.05969625363
941	0.05966434788
942	0.05956039684
943	0.05948206743
944	0.05942127684
945	0.05937483043
946	0.05925809753
947	0.05923073407
948	0.05919660596
949	0.05910856558
950	0.05904250856
951	0.05894093977
952	0.058781422
953	0.05870973463
954	0.05865407242
955	0.05856834455
956	0.05850668313
957	0.05843512061
958	0.05841637418
959	0.05824524224
960	0.05819384792
961	0.05802912618
962	0.05795764124
963	0.05792808018
964	0.05790381329
965	0.05781682794
966	0.05774128279
967	0.05767301346
968	0.05764949619
969	0.05760218072
970	0.05756782675
971	0.05751495995
972	0.05742023417
973	0.05727526598
974	0.0572377654
975	0.05719243646
976	0.05712297374
977	0.05695355802
978	0.05693623639
979	0.05691561404
980	0.05685409042
981	0.05670884698
982	0.05660679833
983	0.05654173133
984	0.05648502841
985	0.05640635655
986	0.05638059358
987	0.0562984619
988	0.05623338767
989	0.05617242779
990	0.0561166241
991	0.05607034986
992	0.05596421642
993	0.05588037583
994	0.05576146189
995	0.05570620941
996	0.05569788491
997	0.05568166595
998	0.05564211582
999	0.05557546643
