iter	Passed	Remaining
0	11	11856
1	23	11520
2	34	11606
3	46	11562
4	58	11668
5	70	11707
6	81	11575
7	92	11456
8	103	11379
9	114	11291
10	125	11282
11	137	11311
12	148	11273
13	159	11229
14	170	11186
15	181	11163
16	192	11136
17	203	11108
18	214	11091
19	226	11086
20	236	11036
21	247	11012
22	259	11015
23	270	11019
24	281	10984
25	294	11031
26	307	11064
27	318	11052
28	330	11050
29	343	11115
30	356	11147
31	368	11135
32	379	11122
33	391	11116
34	403	11117
35	415	11120
36	428	11146
37	440	11148
38	452	11152
39	465	11160
40	476	11147
41	483	11038
42	495	11023
43	507	11023
44	519	11021
45	532	11040
46	547	11110
47	564	11187
48	576	11179
49	587	11165
50	599	11162
51	612	11161
52	625	11174
53	638	11184
54	649	11161
55	661	11156
56	674	11161
57	685	11138
58	698	11134
59	710	11127
60	722	11123
61	734	11110
62	747	11114
63	759	11113
64	772	11107
65	782	11071
66	792	11041
67	804	11022
68	816	11016
69	829	11015
70	840	10992
71	851	10975
72	869	11035
73	913	11429
74	924	11405
75	935	11376
76	946	11345
77	957	11315
78	968	11296
79	980	11274
80	991	11250
81	1002	11223
82	1013	11196
83	1025	11183
84	1036	11161
85	1047	11133
86	1058	11107
87	1070	11089
88	1081	11065
89	1092	11045
90	1104	11031
91	1116	11020
92	1128	11003
93	1139	10987
94	1151	10967
95	1161	10939
96	1172	10918
97	1184	10898
98	1195	10881
99	1206	10861
100	1218	10844
101	1228	10818
102	1239	10796
103	1250	10777
104	1263	10767
105	1276	10769
106	1289	10759
107	1301	10745
108	1313	10739
109	1328	10748
110	1340	10733
111	1352	10725
112	1364	10709
113	1377	10708
114	1390	10704
115	1403	10697
116	1417	10697
117	1430	10691
118	1442	10678
119	1454	10667
120	1467	10659
121	1478	10641
122	1491	10632
123	1504	10626
124	1516	10614
125	1526	10589
126	1538	10577
127	1549	10558
128	1560	10539
129	1573	10527
130	1586	10526
131	1599	10519
132	1610	10498
133	1621	10479
134	1633	10463
135	1644	10445
136	1655	10425
137	1668	10422
138	1680	10409
139	1693	10399
140	1705	10388
141	1717	10379
142	1729	10362
143	1739	10343
144	1752	10330
145	1763	10316
146	1776	10309
147	1789	10299
148	1800	10284
149	1811	10266
150	1824	10257
151	1836	10246
152	1849	10240
153	1861	10224
154	1873	10214
155	1885	10198
156	1902	10216
157	1948	10384
158	1959	10362
159	1971	10351
160	1983	10334
161	1994	10317
162	2007	10308
163	2020	10299
164	2031	10281
165	2044	10273
166	2057	10260
167	2069	10248
168	2081	10236
169	2092	10217
170	2105	10204
171	2115	10185
172	2126	10165
173	2140	10163
174	2153	10150
175	2166	10142
176	2178	10130
177	2190	10115
178	2203	10104
179	2216	10095
180	2229	10089
181	2241	10075
182	2254	10063
183	2264	10042
184	2274	10020
185	2285	10000
186	2295	9980
187	2306	9960
188	2317	9944
189	2329	9929
190	2340	9913
191	2351	9896
192	2362	9879
193	2374	9864
194	2385	9848
195	2396	9831
196	2407	9812
197	2419	9800
198	2431	9787
199	2445	9781
200	2456	9766
201	2471	9761
202	2482	9748
203	2494	9735
204	2506	9720
205	2518	9709
206	2530	9695
207	2545	9693
208	2556	9677
209	2570	9668
210	2582	9656
211	2593	9641
212	2605	9625
213	2616	9610
214	2626	9590
215	2637	9571
216	2648	9555
217	2659	9540
218	2670	9523
219	2681	9507
220	2693	9493
221	2703	9474
222	2715	9462
223	2727	9448
224	2737	9429
225	2748	9414
226	2760	9400
227	2771	9385
228	2783	9372
229	2795	9357
230	2806	9342
231	2817	9327
232	2829	9313
233	2840	9299
234	2851	9283
235	2862	9266
236	2874	9255
237	2886	9240
238	2898	9228
239	2909	9214
240	2921	9202
241	2938	9205
242	2983	9294
243	2994	9277
244	3005	9261
245	3017	9247
246	3027	9230
247	3039	9217
248	3051	9202
249	3063	9190
250	3075	9178
251	3087	9164
252	3099	9151
253	3111	9139
254	3124	9129
255	3135	9113
256	3148	9103
257	3161	9091
258	3173	9079
259	3185	9067
260	3197	9052
261	3209	9039
262	3221	9028
263	3232	9012
264	3245	9002
265	3257	8988
266	3268	8973
267	3280	8960
268	3293	8949
269	3306	8940
270	3318	8926
271	3332	8918
272	3345	8908
273	3356	8894
274	3368	8880
275	3380	8868
276	3392	8855
277	3407	8849
278	3421	8840
279	3434	8831
280	3447	8820
281	3460	8809
282	3472	8798
283	3483	8782
284	3495	8769
285	3506	8753
286	3519	8743
287	3531	8729
288	3544	8721
289	3556	8707
290	3569	8695
291	3580	8681
292	3591	8667
293	3603	8653
294	3614	8638
295	3626	8625
296	3637	8611
297	3649	8597
298	3661	8584
299	3672	8570
300	3683	8553
301	3695	8540
302	3707	8528
303	3718	8513
304	3731	8503
305	3743	8489
306	3754	8474
307	3765	8459
308	3776	8445
309	3787	8430
310	3799	8417
311	3811	8404
312	3822	8389
313	3833	8374
314	3845	8361
315	3855	8346
316	3866	8331
317	3878	8317
318	3889	8304
319	3901	8290
320	3914	8280
321	3926	8267
322	3937	8252
323	3947	8236
324	3959	8222
325	3980	8230
326	4089	8415
327	4100	8400
328	4111	8384
329	4123	8371
330	4134	8357
331	4145	8341
332	4157	8327
333	4170	8315
334	4180	8299
335	4192	8285
336	4205	8272
337	4217	8260
338	4228	8244
339	4239	8229
340	4252	8217
341	4263	8202
342	4275	8189
343	4288	8177
344	4301	8166
345	4314	8154
346	4327	8143
347	4343	8136
348	4358	8130
349	4374	8124
350	4390	8118
351	4406	8112
352	4422	8106
353	4438	8099
354	4454	8093
355	4470	8087
356	4485	8079
357	4501	8073
358	4518	8068
359	4536	8064
360	4555	8063
361	4571	8056
362	4586	8048
363	4603	8042
364	4620	8038
365	4636	8032
366	4653	8027
367	4670	8021
368	4686	8014
369	4702	8006
370	4717	7998
371	4734	7992
372	4750	7984
373	4769	7983
374	4784	7974
375	4801	7968
376	4818	7961
377	4832	7951
378	4847	7942
379	4863	7934
380	4877	7925
381	4892	7915
382	4909	7908
383	4924	7899
384	4938	7889
385	4954	7881
386	4971	7874
387	4986	7865
388	5002	7857
389	5018	7849
390	5033	7839
391	5047	7829
392	5064	7821
393	5098	7842
394	5132	7861
395	5149	7854
396	5165	7845
397	5181	7837
398	5196	7827
399	5212	7818
400	5227	7809
401	5243	7799
402	5257	7788
403	5272	7777
404	5286	7766
405	5301	7756
406	5316	7745
407	5330	7734
408	5344	7723
409	5358	7711
410	5373	7700
411	5388	7690
412	5404	7681
413	5420	7672
414	5435	7662
415	5450	7651
416	5462	7636
417	5473	7620
418	5485	7605
419	5496	7590
420	5508	7576
421	5521	7562
422	5535	7550
423	5546	7535
424	5557	7519
425	5569	7503
426	5581	7489
427	5593	7474
428	5604	7459
429	5615	7443
430	5627	7428
431	5638	7414
432	5650	7398
433	5662	7384
434	5674	7369
435	5686	7355
436	5697	7340
437	5708	7324
438	5721	7311
439	5732	7295
440	5743	7280
441	5754	7264
442	5766	7250
443	5777	7234
444	5789	7220
445	5801	7206
446	5812	7190
447	5825	7177
448	5836	7162
449	5847	7147
450	5858	7132
451	5870	7117
452	5880	7101
453	5893	7087
454	5908	7076
455	5920	7062
456	5932	7049
457	5944	7034
458	5956	7020
459	5968	7006
460	5980	6991
461	5993	6979
462	6004	6964
463	6017	6950
464	6028	6936
465	6040	6922
466	6051	6907
467	6063	6893
468	6076	6879
469	6089	6866
470	6099	6850
471	6111	6836
472	6165	6869
473	6176	6854
474	6189	6840
475	6201	6826
476	6214	6813
477	6225	6799
478	6238	6784
479	6249	6770
480	6262	6757
481	6274	6743
482	6287	6729
483	6299	6715
484	6311	6702
485	6323	6687
486	6335	6674
487	6346	6658
488	6358	6644
489	6370	6630
490	6382	6616
491	6393	6601
492	6405	6586
493	6415	6571
494	6427	6557
495	6439	6543
496	6451	6529
497	6463	6515
498	6476	6502
499	6489	6489
500	6500	6474
501	6513	6461
502	6526	6448
503	6539	6435
504	6551	6421
505	6568	6413
506	6580	6398
507	6596	6388
508	6608	6374
509	6621	6361
510	6632	6347
511	6645	6333
512	6658	6321
513	6670	6307
514	6681	6292
515	6693	6278
516	6705	6264
517	6718	6251
518	6730	6237
519	6743	6224
520	6755	6210
521	6766	6196
522	6779	6183
523	6791	6169
524	6804	6156
525	6815	6141
526	6827	6127
527	6838	6113
528	6852	6100
529	6862	6085
530	6875	6072
531	6886	6058
532	6897	6043
533	6909	6029
534	6920	6015
535	6933	6002
536	6945	5988
537	6956	5974
538	6969	5960
539	6982	5947
540	6994	5934
541	7007	5921
542	7019	5907
543	7030	5893
544	7041	5878
545	7056	5867
546	7069	5854
547	7080	5839
548	7091	5825
549	7103	5811
550	7114	5797
551	7125	5783
552	7136	5768
553	7147	5754
554	7201	5773
555	7212	5759
556	7224	5745
557	7234	5730
558	7245	5715
559	7256	5701
560	7267	5686
561	7278	5672
562	7289	5658
563	7300	5643
564	7312	5629
565	7323	5615
566	7335	5601
567	7346	5587
568	7359	5574
569	7370	5559
570	7382	5546
571	7394	5533
572	7405	5518
573	7416	5504
574	7429	5491
575	7441	5477
576	7453	5463
577	7464	5449
578	7476	5435
579	7488	5422
580	7500	5409
581	7512	5395
582	7522	5380
583	7534	5367
584	7546	5353
585	7557	5339
586	7569	5325
587	7580	5311
588	7591	5297
589	7602	5283
590	7613	5269
591	7625	5255
592	7635	5240
593	7647	5226
594	7659	5213
595	7669	5199
596	7681	5185
597	7693	5171
598	7704	5157
599	7716	5144
600	7727	5130
601	7738	5116
602	7750	5102
603	7761	5088
604	7772	5074
605	7785	5061
606	7796	5047
607	7807	5033
608	7819	5020
609	7830	5006
610	7842	4992
611	7854	4979
612	7866	4966
613	7879	4953
614	7890	4939
615	7901	4925
616	7913	4911
617	7926	4899
618	7937	4885
619	7950	4872
620	7962	4859
621	7973	4845
622	7985	4832
623	7998	4819
624	8009	4805
625	8021	4792
626	8033	4778
627	8046	4766
628	8058	4752
629	8070	4739
630	8081	4726
631	8094	4712
632	8105	4699
633	8117	4686
634	8128	4672
635	8140	4659
636	8151	4645
637	8162	4631
638	8174	4618
639	8203	4614
640	8240	4615
641	8252	4602
642	8264	4588
643	8275	4574
644	8286	4561
645	8299	4547
646	8310	4534
647	8322	4520
648	8333	4507
649	8345	4493
650	8357	4480
651	8369	4466
652	8380	4453
653	8392	4440
654	8405	4427
655	8417	4413
656	8428	4400
657	8442	4387
658	8454	4374
659	8465	4361
660	8476	4347
661	8487	4333
662	8499	4320
663	8511	4306
664	8522	4293
665	8533	4279
666	8544	4265
667	8556	4252
668	8566	4238
669	8578	4225
670	8591	4212
671	8602	4198
672	8614	4185
673	8625	4171
674	8637	4158
675	8648	4145
676	8658	4131
677	8670	4117
678	8681	4104
679	8692	4090
680	8703	4076
681	8714	4063
682	8725	4049
683	8736	4036
684	8747	4022
685	8758	4009
686	8769	3995
687	8781	3982
688	8793	3969
689	8804	3955
690	8816	3942
691	8828	3929
692	8841	3916
693	8853	3903
694	8865	3890
695	8877	3877
696	8888	3864
697	8900	3850
698	8912	3837
699	8923	3824
700	8934	3811
701	8947	3798
702	8958	3784
703	8971	3772
704	8982	3758
705	8995	3745
706	9005	3732
707	9017	3718
708	9028	3705
709	9039	3692
710	9050	3678
711	9061	3665
712	9073	3652
713	9084	3639
714	9095	3625
715	9106	3612
716	9118	3598
717	9130	3585
718	9141	3572
719	9153	3559
720	9165	3546
721	9175	3533
722	9186	3519
723	9197	3506
724	9209	3493
725	9220	3479
726	9339	3507
727	9352	3494
728	9362	3480
729	9373	3466
730	9383	3453
731	9394	3439
732	9405	3426
733	9417	3412
734	9428	3399
735	9439	3385
736	9451	3372
737	9463	3359
738	9474	3346
739	9485	3332
740	9496	3319
741	9507	3305
742	9519	3292
743	9529	3279
744	9541	3265
745	9552	3252
746	9563	3239
747	9575	3225
748	9589	3213
749	9601	3200
750	9612	3187
751	9623	3173
752	9634	3160
753	9645	3146
754	9657	3133
755	9669	3120
756	9680	3107
757	9691	3094
758	9705	3081
759	9715	3068
760	9727	3054
761	9738	3041
762	9749	3028
763	9761	3015
764	9774	3002
765	9786	2989
766	9797	2976
767	9813	2964
768	9824	2951
769	9836	2938
770	9847	2924
771	9858	2911
772	9869	2898
773	9880	2884
774	9891	2871
775	9902	2858
776	9915	2845
777	9928	2833
778	9939	2819
779	9951	2806
780	9963	2793
781	9974	2780
782	9986	2767
783	9997	2754
784	10008	2741
785	10019	2728
786	10030	2714
787	10041	2701
788	10053	2688
789	10065	2675
790	10076	2662
791	10087	2649
792	10097	2635
793	10108	2622
794	10119	2609
795	10131	2596
796	10141	2583
797	10154	2570
798	10165	2557
799	10176	2544
800	10188	2531
801	10199	2518
802	10211	2505
803	10222	2492
804	10234	2479
805	10245	2465
806	10256	2452
807	10268	2439
808	10278	2426
809	10289	2413
810	10301	2400
811	10312	2387
812	10329	2376
813	10379	2371
814	10391	2358
815	10402	2345
816	10412	2332
817	10423	2319
818	10434	2306
819	10445	2293
820	10456	2279
821	10468	2266
822	10478	2253
823	10489	2240
824	10500	2227
825	10512	2214
826	10523	2201
827	10535	2188
828	10545	2175
829	10556	2162
830	10567	2149
831	10579	2136
832	10589	2123
833	10601	2110
834	10612	2097
835	10624	2084
836	10634	2071
837	10645	2058
838	10657	2045
839	10668	2032
840	10680	2019
841	10691	2006
842	10702	1993
843	10713	1980
844	10724	1967
845	10735	1954
846	10746	1941
847	10757	1928
848	10768	1915
849	10779	1902
850	10790	1889
851	10801	1876
852	10812	1863
853	10823	1850
854	10835	1837
855	10846	1824
856	10857	1811
857	10868	1798
858	10880	1785
859	10891	1773
860	10904	1760
861	10915	1747
862	10927	1734
863	10938	1721
864	10950	1709
865	10962	1696
866	10974	1683
867	10985	1670
868	10997	1657
869	11008	1644
870	11020	1632
871	11030	1619
872	11041	1606
873	11053	1593
874	11064	1580
875	11075	1567
876	11086	1554
877	11097	1542
878	11108	1529
879	11119	1516
880	11130	1503
881	11141	1490
882	11151	1477
883	11162	1464
884	11173	1451
885	11183	1439
886	11194	1426
887	11205	1413
888	11216	1400
889	11227	1387
890	11239	1374
891	11250	1362
892	11262	1349
893	11273	1336
894	11284	1323
895	11296	1311
896	11307	1298
897	11318	1285
898	11329	1272
899	11340	1260
900	11352	1247
901	11380	1236
902	11421	1226
903	11432	1214
904	11442	1201
905	11454	1188
906	11464	1175
907	11475	1162
908	11486	1149
909	11496	1137
910	11507	1124
911	11518	1111
912	11530	1098
913	11541	1085
914	11552	1073
915	11563	1060
916	11575	1047
917	11587	1035
918	11598	1022
919	11608	1009
920	11620	996
921	11631	984
922	11643	971
923	11655	958
924	11667	945
925	11677	933
926	11689	920
927	11699	907
928	11710	895
929	11722	882
930	11733	869
931	11744	856
932	11756	844
933	11767	831
934	11778	818
935	11790	806
936	11801	793
937	11812	780
938	11824	768
939	11836	755
940	11848	742
941	11860	730
942	11870	717
943	11883	704
944	11895	692
945	11907	679
946	11918	667
947	11930	654
948	11941	641
949	11953	629
950	11964	616
951	11976	603
952	11987	591
953	11998	578
954	12010	565
955	12022	553
956	12033	540
957	12045	528
958	12057	515
959	12068	502
960	12079	490
961	12091	477
962	12103	465
963	12114	452
964	12125	439
965	12136	427
966	12148	414
967	12159	401
968	12170	389
969	12182	376
970	12193	364
971	12205	351
972	12216	338
973	12227	326
974	12239	313
975	12250	301
976	12261	288
977	12272	276
978	12283	263
979	12295	250
980	12306	238
981	12317	225
982	12328	213
983	12339	200
984	12351	188
985	12363	175
986	12373	162
987	12384	150
988	12395	137
989	12422	125
990	12466	113
991	12478	100
992	12489	88
993	12500	75
994	12511	62
995	12521	50
996	12532	37
997	12544	25
998	12555	12
999	12566	0
